seed,intensity,K,start_id,depth_k,lineage_id,survivor_rank_at_depth,path_p,path_q,p_last,q_last,r_p_last,r_q_last,d_p_over_ell,d_q_over_ell,d_mid_over_ell,straddles_horizon,regscore,is_top1,is_minbeam_at_k
1000000,3600.0,8,9,1,0,0,[668],[752],668,752,0.4133906473417173,0.38888067898593853,1.9366440003117218,2.4847035540106233,2.2106737771611726,0,0.0,1,1
1000000,3600.0,8,9,2,0,0,"[668,752]","[752,780]",752,780,0.38888067898593853,0.38628495749052705,2.4847035540106233,2.542745651154598,2.51372460258261,0,0.0,1,1
1000000,3600.0,8,9,2,1,1,"[668,752]","[752,1088]",752,1088,0.38888067898593853,0.336472688409635,2.4847035540106233,3.6565818489384534,3.0706427014745383,0,0.0,0,0
1000000,3600.0,8,9,2,2,2,"[668,752]","[752,1420]",752,1420,0.38888067898593853,0.2431020343393561,2.4847035540106233,5.744413144986065,4.114558349498344,0,0.0,0,0
1000000,3600.0,8,9,3,0,0,"[668,752,780]","[752,780,426]",780,426,0.38628495749052705,0.3770750928593046,2.542745651154598,2.7486844849444427,2.64571506804952,0,0.0,1,1
1000000,3600.0,8,9,3,3,1,"[668,752,780]","[752,780,1218]",780,1218,0.38628495749052705,0.3613142492642369,2.542745651154598,3.101107661557578,2.8219266563560885,0,0.0,0,0
1000000,3600.0,8,9,3,4,2,"[668,752,780]","[752,780,3253]",780,3253,0.38628495749052705,0.32357050698217393,2.542745651154598,3.945083396236836,3.2439145236957168,0,0.0,0,0
1000000,3600.0,8,9,3,5,3,"[668,752,780]","[752,780,3330]",780,3330,0.38628495749052705,0.3617574600514174,2.542745651154598,3.0911971670726097,2.816971409113604,0,0.0,0,0
1000000,3600.0,8,9,3,6,4,"[668,752,780]","[752,780,3470]",780,3470,0.38628495749052705,0.3189437007342406,2.542745651154598,4.048541929127833,3.2956437901412152,0,0.0,0,0
1000000,3600.0,8,9,3,1,5,"[668,752,1088]","[752,1088,1865]",1088,1865,0.336472688409635,0.30612233211968065,3.6565818489384534,4.335236446995216,3.9959091479668354,0,0.0,0,0
