seed,intensity,K,start_id,depth_k,slice_status,n_survivors,n_endpoint_identities,top1_endpoint_pair,top1_endpoint_count,top1_endpoint_mass_fraction,top3_endpoint_count,top3_endpoint_mass_fraction,endpoint_entropy_nats,effective_endpoint_count,turnover_from_previous_depth
1000018,4800.0,32,0,1,EVALUABLE,1,1,"[114,279]",1,1.0,1,1.0,0.0,1.0,NA
1000018,4800.0,32,0,2,EVALUABLE,12,12,"[279,213]",1,0.08333333333333333,3,0.25,2.4849066497880004,12.0,1.0
1000018,4800.0,32,0,3,EVALUABLE,32,32,"[213,240]",1,0.03125,3,0.09375,3.4657359027997265,32.0,1.0
1000018,4800.0,32,0,4,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,1.0
1000018,4800.0,32,0,5,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,6,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,7,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,8,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,9,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,10,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,11,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,12,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,13,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,14,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,15,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,16,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,17,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,18,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,19,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,20,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,21,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,22,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,23,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,24,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,0,25,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,1,1,EVALUABLE,1,1,"[114,376]",1,1.0,1,1.0,0.0,1.0,NA
1000018,4800.0,32,1,2,EVALUABLE,13,13,"[376,154]",1,0.07692307692307693,3,0.23076923076923078,2.564949357461537,13.000000000000005,1.0
1000018,4800.0,32,1,3,EVALUABLE,32,32,"[154,642]",1,0.03125,3,0.09375,3.4657359027997265,32.0,1.0
1000018,4800.0,32,1,4,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,1.0
1000018,4800.0,32,1,5,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,1,6,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,1,7,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,1,8,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000018,4800.0,32,1,9,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
