seed,spacetime_kind,depth_k,n_emitted_starts,n_transition_evaluable_starts,seed_depth_supported
1101000,BH,3,40,5,1
1101000,BH,4,40,3,0
1101000,BH,5,40,2,0
1101000,MINK,3,40,5,1
1101000,MINK,4,40,1,0
1101000,MINK,5,40,2,0
1101001,BH,3,40,3,0
1101001,BH,4,40,2,0
1101001,BH,5,40,4,0
1101001,MINK,3,40,4,0
1101001,MINK,4,40,2,0
1101001,MINK,5,40,3,0
1101002,BH,3,40,2,0
1101002,BH,4,40,1,0
1101002,BH,5,40,3,0
1101002,MINK,3,40,4,0
1101002,MINK,4,40,3,0
1101002,MINK,5,40,2,0
1101003,BH,3,40,2,0
1101003,BH,4,40,1,0
1101003,BH,5,40,4,0
1101003,MINK,3,40,0,0
1101003,MINK,4,40,0,0
1101003,MINK,5,40,0,0
1101004,BH,3,40,2,0
1101004,BH,4,40,1,0
1101004,BH,5,40,4,0
1101004,MINK,3,40,6,1
1101004,MINK,4,40,3,0
1101004,MINK,5,40,2,0
1101005,BH,3,40,2,0
1101005,BH,4,40,0,0
1101005,BH,5,40,0,0
1101005,MINK,3,40,3,0
1101005,MINK,4,40,2,0
1101005,MINK,5,40,5,1
1101006,BH,3,40,4,0
1101006,BH,4,40,2,0
1101006,BH,5,40,2,0
1101006,MINK,3,40,5,1
1101006,MINK,4,40,3,0
1101006,MINK,5,40,4,0
1101007,BH,3,40,3,0
1101007,BH,4,40,1,0
1101007,BH,5,40,2,0
1101007,MINK,3,40,5,1
1101007,MINK,4,40,2,0
1101007,MINK,5,40,1,0
1101008,BH,3,40,3,0
1101008,BH,4,40,1,0
1101008,BH,5,40,1,0
1101008,MINK,3,40,4,0
1101008,MINK,4,40,1,0
1101008,MINK,5,40,1,0
1101009,BH,3,40,5,1
1101009,BH,4,40,4,0
1101009,BH,5,40,5,1
1101009,MINK,3,40,5,1
1101009,MINK,4,40,5,1
1101009,MINK,5,40,5,1
1101010,BH,3,40,6,1
1101010,BH,4,40,4,0
1101010,BH,5,40,4,0
1101010,MINK,3,40,3,0
1101010,MINK,4,40,2,0
1101010,MINK,5,40,2,0
1101011,BH,3,40,4,0
1101011,BH,4,40,3,0
1101011,BH,5,40,2,0
1101011,MINK,3,40,4,0
1101011,MINK,4,40,2,0
1101011,MINK,5,40,4,0
1101012,BH,3,40,1,0
1101012,BH,4,40,0,0
1101012,BH,5,40,0,0
1101012,MINK,3,40,2,0
1101012,MINK,4,40,1,0
1101012,MINK,5,40,4,0
1101013,BH,3,40,2,0
1101013,BH,4,40,1,0
1101013,BH,5,40,2,0
1101013,MINK,3,40,5,1
1101013,MINK,4,40,1,0
1101013,MINK,5,40,4,0
1101014,BH,3,40,1,0
1101014,BH,4,40,1,0
1101014,BH,5,40,3,0
1101014,MINK,3,40,1,0
1101014,MINK,4,40,0,0
1101014,MINK,5,40,4,0
1101015,BH,3,40,4,0
1101015,BH,4,40,3,0
1101015,BH,5,40,2,0
1101015,MINK,3,40,2,0
1101015,MINK,4,40,1,0
1101015,MINK,5,40,1,0
1101016,BH,3,40,1,0
1101016,BH,4,40,1,0
1101016,BH,5,40,3,0
1101016,MINK,3,40,2,0
1101016,MINK,4,40,1,0
1101016,MINK,5,40,4,0
1101017,BH,3,40,5,1
1101017,BH,4,40,3,0
1101017,BH,5,40,7,1
1101017,MINK,3,40,5,1
1101017,MINK,4,40,4,0
1101017,MINK,5,40,4,0
1101018,BH,3,40,1,0
1101018,BH,4,40,0,0
1101018,BH,5,40,2,0
1101018,MINK,3,40,8,1
1101018,MINK,4,40,6,1
1101018,MINK,5,40,6,1
1101019,BH,3,40,3,0
1101019,BH,4,40,2,0
1101019,BH,5,40,2,0
1101019,MINK,3,40,2,0
1101019,MINK,4,40,1,0
1101019,MINK,5,40,2,0
1101020,BH,3,40,3,0
1101020,BH,4,40,2,0
1101020,BH,5,40,3,0
1101020,MINK,3,40,5,1
1101020,MINK,4,40,2,0
1101020,MINK,5,40,3,0
1101021,BH,3,40,3,0
1101021,BH,4,40,1,0
1101021,BH,5,40,1,0
1101021,MINK,3,40,3,0
1101021,MINK,4,40,3,0
1101021,MINK,5,40,5,1
1101022,BH,3,40,3,0
1101022,BH,4,40,2,0
1101022,BH,5,40,5,1
1101022,MINK,3,40,4,0
1101022,MINK,4,40,2,0
1101022,MINK,5,40,2,0
1101023,BH,3,40,6,1
1101023,BH,4,40,2,0
1101023,BH,5,40,1,0
1101023,MINK,3,40,9,1
1101023,MINK,4,40,8,1
1101023,MINK,5,40,10,1
