interval_size,baseline_replicates,baseline_mean_height,baseline_sd_height,baseline_standard_error,selected_interval_count,selected_mean_height,selected_mean_residual
3,4000,3,0,0,23365,3,0
4,4000,3.502,0.500058511205,0.0079066192938,5609,3,-0.502
5,4000,4.00525,0.591024335321,0.009344915261,1504,3.33643617021,-0.668813829787
6,4000,4.4425,0.644047707365,0.0101832883854,747,3.85676037483,-0.585739625167
7,4000,4.79475,0.695156995442,0.010991397185,596,4.19630872483,-0.598441275168
8,4000,5.13525,0.75670376479,0.0119645370538,567,4.5467372134,-0.588512786596
9,4000,5.46325,0.802377959628,0.0126867094837,590,4.90847457627,-0.554775423729
10,4000,5.79025,0.84464980662,0.0133550860707,605,5.23305785124,-0.55719214876
11,4000,6.05825,0.869221389495,0.0137435969087,668,5.59730538922,-0.460944610778
12,4000,6.33225,0.888570383724,0.0140495313697,631,5.93026941363,-0.401980586371
13,4000,6.568,0.928758121317,0.0146849552937,599,6.14524207012,-0.422757929883
14,4000,6.8585,0.964733345338,0.0152537735299,620,6.35,-0.5085
15,4000,7.111,0.977198920094,0.0154508715728,581,6.7091222031,-0.401877796902
16,4000,7.31975,0.990078280365,0.0156545121391,557,6.87073608618,-0.449013913824
17,4000,7.56075,1.00899155273,0.0159535572325,576,7.12673611111,-0.434013888889
18,4000,7.77075,1.03293812873,0.0163321858442,589,7.33786078098,-0.432889219015
19,4000,8.00975,1.05305848391,0.0166503165927,562,7.46441281139,-0.545337188612
20,4000,8.2105,1.06370701707,0.0168186846852,582,7.78350515464,-0.426994845361
21,4000,8.41625,1.08893635402,0.0172175955282,581,7.96213425129,-0.454115748709
22,4000,8.595,1.09898905556,0.0173765426958,632,8.23575949367,-0.359240506329
23,4000,8.8055,1.09291736517,0.0172805408414,584,8.36643835616,-0.439061643836
24,4000,9.01375,1.11864819356,0.0176873809603,593,8.63743676223,-0.376313237774
25,4000,9.15675,1.14760999023,0.0181453071734,579,8.85492227979,-0.301827720207
26,4000,9.3775,1.14752906531,0.0181440276382,555,8.9027027027,-0.474797297297
27,4000,9.55525,1.16738516974,0.0184579802154,559,9.1771019678,-0.3781480322
28,4000,9.71825,1.17290701474,0.0185452882508,548,9.26277372263,-0.455476277372
29,4000,9.92875,1.20997497799,0.0191313842113,520,9.50576923077,-0.422980769231
30,4000,10.07825,1.19999455592,0.0189735798825,497,9.61770623742,-0.460543762575
31,4000,10.24975,1.18288830567,0.0187031063174,484,9.90289256198,-0.346857438017
32,4000,10.4145,1.23716304225,0.0195612652524,498,10.0963855422,-0.318114457831
33,4000,10.54625,1.22075120146,0.0193017712651,411,10.1922141119,-0.354035888078
34,4000,10.743,1.24190844435,0.0196362966477,392,10.375,-0.368
35,4000,10.879,1.26065709615,0.0199327388615,399,10.7067669173,-0.172233082707
36,4000,11.03525,1.26150913149,0.019946210723,360,10.8027777778,-0.232472222222
37,4000,11.2095,1.27181528868,0.0201091653763,312,10.9903846154,-0.219115384615
38,4000,11.355,1.28214116676,0.0202724318441,278,11.0467625899,-0.308237410072
39,4000,11.514,1.29758426749,0.0205166087063,227,11.2775330396,-0.236466960352
40,4000,11.656,1.29192928224,0.0204271955388,229,11.2227074236,-0.433292576419
41,4000,11.835,1.3157537011,0.0208038926763,213,11.4600938967,-0.374906103286
42,4000,11.962,1.32003470519,0.0208715812943,204,11.5931372549,-0.368862745098
43,4000,12.07475,1.30521581916,0.0206372741331,221,11.6063348416,-0.468415158371
44,4000,12.242,1.36378186498,0.0215632846248,186,11.6827956989,-0.559204301075
45,4000,12.36175,1.33222770019,0.0210643694729,201,11.9950248756,-0.366725124378
46,4000,12.52075,1.33978288989,0.0211838275109,251,12.0597609562,-0.460989043825
47,4000,12.694,1.33615505372,0.0211264663845,240,12.125,-0.569
48,4000,12.76525,1.35595062153,0.0214394617937,278,12.1942446043,-0.571005395683
49,4000,12.91325,1.35708690168,0.0214574279605,304,12.5230263158,-0.390223684211
50,4000,13.06225,1.39619564462,0.0220757914811,340,12.6294117647,-0.432838235294
51,4000,13.14025,1.40839477117,0.0222686766078,321,12.6542056075,-0.486044392523
52,4000,13.32025,1.43586397818,0.0227030029062,363,12.9311294766,-0.389120523416
53,4000,13.46125,1.39623988231,0.0220764909403,345,13.0376811594,-0.42356884058
54,4000,13.5715,1.39566282414,0.0220673668495,367,13.1553133515,-0.416186648501
55,4000,13.7065,1.4173425715,0.0224101537533,373,13.2171581769,-0.489341823056
56,4000,13.802,1.40900401812,0.022278309648,348,13.5977011494,-0.204298850575
57,4000,13.9075,1.43560405048,0.0226988930884,339,13.5250737463,-0.382426253687
58,4000,13.9995,1.42916422345,0.0225970704827,341,13.6539589443,-0.345541055718
59,4000,14.1375,1.44173971415,0.0227959064491,311,13.8874598071,-0.250040192926
60,4000,14.302,1.44024809621,0.0227723218988,294,13.9013605442,-0.400639455782
61,4000,14.4385,1.45163513361,0.0229523667687,285,14.3438596491,-0.0946403508772
62,4000,14.52375,1.45961246728,0.0230784994889,314,14.2707006369,-0.253049363057
63,4000,14.70925,1.47487567343,0.023319831968,279,14.3046594982,-0.404590501792
64,4000,14.83875,1.49843577271,0.0236923498462,238,14.5630252101,-0.275724789916
65,4000,14.8815,1.46696821674,0.0231948040999,282,14.4539007092,-0.42759929078
66,4000,15.054,1.49068425057,0.0235697875196,242,14.826446281,-0.227553719008
67,4000,15.15375,1.49320740508,0.0236096820954,243,14.8312757202,-0.322474279835
68,4000,15.2525,1.51271802692,0.0239181721133,247,14.7368421053,-0.515657894737
69,4000,15.3405,1.50719197746,0.0238307975995,258,14.9728682171,-0.367631782946
70,4000,15.4825,1.47588560179,0.0233358003376,238,15,-0.4825
71,4000,15.56625,1.52272473223,0.0240763920166,238,15.1260504202,-0.440199579832
72,4000,15.7325,1.5311857766,0.0242101728746,288,15.2048611111,-0.527638888889
73,4000,15.82,1.52485451612,0.0241100668566,304,15.3585526316,-0.461447368421
74,4000,15.89625,1.51807841629,0.0240029273112,272,15.3088235294,-0.587426470588
75,4000,16.046,1.54563295944,0.0244386028923,271,15.7749077491,-0.271092250923
76,4000,16.1245,1.53967282177,0.0243443648413,293,15.7645051195,-0.359994880546
77,4000,16.23225,1.54123450145,0.024369057165,276,15.8695652174,-0.362684782609
