n,selector_a,selector_b,replicates,a_unique_count,b_unique_count,both_unique_count,a_only_unique_count,b_only_unique_count,same_quadruple_count,p_same_quadruple_given_both_unique
32,COVERAGE,MIN_ONLY,12000,4992,2138,1162,3830,976,194,0.166953528399
32,COVERAGE,MIN_COVERAGE_LEX,12000,4992,5473,3110,1882,2363,719,0.231189710611
32,MIN_ONLY,MIN_COVERAGE_LEX,12000,2138,5473,2138,0,3335,2138,1
48,COVERAGE,MIN_ONLY,12000,6051,2504,1508,4543,996,29,0.0192307692308
48,COVERAGE,MIN_COVERAGE_LEX,12000,6051,6369,3738,2313,2631,94,0.0251471375067
48,MIN_ONLY,MIN_COVERAGE_LEX,12000,2504,6369,2504,0,3865,2504,1
64,COVERAGE,MIN_ONLY,12000,6515,2784,1754,4761,1030,4,0.00228050171038
64,COVERAGE,MIN_COVERAGE_LEX,12000,6515,7106,4319,2196,2787,16,0.00370456124103
64,MIN_ONLY,MIN_COVERAGE_LEX,12000,2784,7106,2784,0,4322,2784,1
96,COVERAGE,MIN_ONLY,12000,6976,3085,1959,5017,1126,0,0
96,COVERAGE,MIN_COVERAGE_LEX,12000,6976,7834,4924,2052,2910,0,0
96,MIN_ONLY,MIN_COVERAGE_LEX,12000,3085,7834,3085,0,4749,3085,1
128,COVERAGE,MIN_ONLY,12000,7277,3429,2290,4987,1139,0,0
128,COVERAGE,MIN_COVERAGE_LEX,12000,7277,8359,5361,1916,2998,0,0
128,MIN_ONLY,MIN_COVERAGE_LEX,12000,3429,8359,3429,0,4930,3429,1
