selector,n,replicates,empty_count,p_empty,unique_count,p_unique,p_unique_ci95_low,p_unique_ci95_high,tie_count,p_tie,floor_count,p_floor,p_floor_ci95_low,p_floor_ci95_high,past_size_mean,future_size_mean,min_size_mean,min_size_median,balance_mean,balance_median,selected_endpoint_count,near_boundary_endpoint_count,near_boundary_endpoint_fraction,uniform_boundary_reference,boundary_enrichment,endpoint_clearance_mean
COVERAGE,32,12000,9,0.00075,4992,0.416,0.407209430244,0.424844332969,6999,0.58325,3415,0.684094551282,0.671061402563,0.696844587879,7.61838942308,7.52463942308,3.54747596154,3,0.34652760742,0.285714285714,19968,5851,0.293018830128,0.19,1.5422043691,0.14682715853
COVERAGE,48,12000,0,0,6051,0.50425,0.495304423779,0.513192856058,5949,0.49575,4275,0.706494794249,0.694893150952,0.717834418712,12.2626012229,12.2759874401,3.53991075855,3,0.185148449085,0.15625,24204,8189,0.338332507024,0.19,1.78069740539,0.119550309591
COVERAGE,64,12000,0,0,6515,0.542916666667,0.533991392502,0.551814472523,5485,0.457083333333,4798,0.736454336147,0.725619509415,0.747010484651,17.3691481197,17.5766692249,3.4478894858,3,0.116564324961,0.1,26060,9758,0.374443591711,0.19,1.97075574585,0.10109460683
COVERAGE,96,12000,0,0,6976,0.581333333333,0.572481859159,0.590132751063,5024,0.418666666667,5313,0.761611238532,0.751470021524,0.771464492323,28.5123279817,29.0652236239,3.33271215596,3,0.0633369927953,0.0576923076923,27904,11936,0.427752293578,0.19,2.25132786094,0.080768263896
COVERAGE,128,12000,0,0,7277,0.606416666667,0.597642938431,0.615122284165,4723,0.393583333333,5738,0.788511749347,0.77897825591,0.797740798302,40.4893500069,41.0754431771,3.2730520819,3,0.042642429173,0.0394736842105,29108,13680,0.469973890339,0.19,2.47354679126,0.0692683153325
MIN_ONLY,32,12000,9,0.00075,2138,0.178166666667,0.171423575541,0.185115743435,9853,0.821083333333,0,0,0,0.00179353089132,6.4153414406,6.37745556595,6.13704396632,6,0.931259727436,1,8552,2494,0.291627689429,0.19,1.53488257594,0.188466735658
MIN_ONLY,48,12000,0,0,2504,0.208666666667,0.201489973565,0.216029824244,9496,0.791333333333,0,0,0,0.00153177897557,9.43889776358,9.46325878594,9.0874600639,9,0.931871407236,0.923076923077,10016,3379,0.337360223642,0.19,1.77558012443,0.193218688133
MIN_ONLY,64,12000,0,0,2784,0.232,0.224534137289,0.239637392962,9216,0.768,0,0,0,0.0013779330272,12.6296695402,12.625,12.1943247126,12,0.937377815949,0.933333333333,11136,4064,0.364942528736,0.19,1.92075015124,0.198380162912
MIN_ONLY,96,12000,0,0,3085,0.257083333333,0.249342697225,0.2649794454,8915,0.742916666667,0,0,0,0.00124365684413,19.1954619125,19.2110210697,18.6444084279,19,0.945796509777,0.95,12340,4935,0.399918962723,0.19,2.10483664591,0.203859847202
MIN_ONLY,128,12000,0,0,3429,0.28575,0.277736508415,0.29390061978,8571,0.71425,0,0,0,0.00111903181862,26.0454943132,26.0918635171,25.4015748031,25,0.951880364968,0.961538461538,13716,5867,0.427748614756,0.19,2.25130849872,0.207697488231
MIN_COVERAGE_LEX,32,12000,9,0.00075,5473,0.456083333333,0.447187406254,0.465007368759,6518,0.543166666667,113,0.0206468116207,0.0172020614325,0.0247639988504,6.45368171021,6.44527681345,5.63000182715,6,0.790919417185,0.8,21892,6338,0.289512150557,0.19,1.52374816083,0.185548160112
MIN_COVERAGE_LEX,48,12000,0,0,6369,0.53075,0.521812546092,0.539667772732,5631,0.46925,0,0,5.42101086243e-20,0.000602785875895,9.46836238028,9.48657560057,8.51499450463,8,0.826758419306,0.846153846154,25476,8394,0.329486575601,0.19,1.73413987158,0.191759230089
MIN_COVERAGE_LEX,64,12000,0,0,7106,0.592166666667,0.583345858464,0.600928484677,4894,0.407833333333,0,0,0,0.000540301614733,12.5830284267,12.6661975795,11.5223754574,11,0.847508859634,0.857142857143,28424,10130,0.35638896707,0.19,1.87573140563,0.198057423524
MIN_COVERAGE_LEX,96,12000,0,0,7834,0.652833333333,0.644267842422,0.661301005066,4166,0.347166666667,0,0,0,0.000490116933454,19.1419453664,19.1995149349,17.8686494766,18,0.878029943515,0.894736842105,31336,12320,0.393158029104,0.19,2.06925278476,0.204387728434
MIN_COVERAGE_LEX,128,12000,0,0,8359,0.696583333333,0.688295971721,0.704744874094,3641,0.303416666667,0,0,0,0.000459348516842,25.9671013279,26.0155520995,24.5126211269,24,0.89642774206,0.913043478261,33436,14135,0.422747936356,0.19,2.22498913872,0.207962027359
