selector,n,retention,original_unique_count,endpoint_survive_count,endpoint_survive_fraction,endpoint_survive_expected,survival_control_tolerance,survival_control_pass,thinned_unique_count,thinned_unique_given_survival_count,p_thinned_unique_given_survival,exact_reselected_count,p_same_given_survival,p_same_ci95_low,p_same_ci95_high,p_same_unconditional
COVERAGE,32,0.9,4992,3283,0.65765224359,0.6561,0.0405383861986,TRUE,3322,2599,0.791653975023,2488,0.757843435882,0.742893741175,0.772190427383,0.498397435897
COVERAGE,32,0.8,4992,2051,0.410857371795,0.4096,0.0419609571127,TRUE,2537,1410,0.68746952706,1250,0.609458800585,0.588158906743,0.63034943514,0.250400641026
COVERAGE,48,0.9,6051,3977,0.657246736077,0.6561,0.0368038543685,TRUE,4288,3237,0.813930098064,3031,0.762132260498,0.748650428565,0.775108184172,0.500908940671
COVERAGE,48,0.8,6051,2569,0.42455792431,0.4096,0.0380959588618,TRUE,3549,1900,0.739587388089,1642,0.639159205917,0.620393431398,0.657509428705,0.271360105768
COVERAGE,64,0.9,6515,4257,0.653415195702,0.6561,0.0354632829566,TRUE,4787,3524,0.82781301386,3264,0.76673713883,0.753796053505,0.77919725825,0.500997697621
COVERAGE,64,0.8,6515,2632,0.403990790483,0.4096,0.036708525653,TRUE,4076,2037,0.773936170213,1722,0.654255319149,0.635872294813,0.672188722014,0.264313123561
COVERAGE,96,0.9,6976,4538,0.650516055046,0.6561,0.0342664990929,TRUE,5312,3890,0.857205817541,3591,0.791317761128,0.779250626298,0.80289210677,0.514764908257
COVERAGE,96,0.8,6976,2877,0.412413990826,0.4096,0.0354698934682,TRUE,4641,2281,0.792839763643,1940,0.674313521029,0.656966777574,0.691195387661,0.278096330275
COVERAGE,128,0.9,7277,4759,0.653978287756,0.6561,0.0335473957315,TRUE,5807,4191,0.880647194789,3872,0.813616305947,0.802301137387,0.824425581487,0.532087398653
COVERAGE,128,0.8,7277,2979,0.409371993954,0.4096,0.0347256391588,TRUE,5027,2451,0.822759315206,2057,0.690500167842,0.673663066634,0.706846596943,0.282671430535
MIN_ONLY,32,0.9,2138,1399,0.654349859682,0.6561,0.0621057223398,TRUE,1037,902,0.64474624732,884,0.631879914224,0.606278146602,0.656759417394,0.413470533209
MIN_ONLY,32,0.8,2138,876,0.409728718428,0.4096,0.064279461167,TRUE,640,413,0.471461187215,400,0.456621004566,0.423896266539,0.489724534983,0.187090739008
MIN_ONLY,48,0.9,2504,1642,0.655750798722,0.6561,0.0573547988748,TRUE,1162,980,0.596833130329,942,0.573690621194,0.549625845506,0.597411403254,0.376198083067
MIN_ONLY,48,0.8,2504,989,0.394968051118,0.4096,0.0593634016155,TRUE,772,452,0.457027300303,410,0.41456016178,0.384245127869,0.445536355873,0.163738019169
MIN_ONLY,64,0.9,2784,1846,0.663074712644,0.6561,0.0543746134598,TRUE,1266,1050,0.568797399783,994,0.538461538462,0.515663943882,0.561099391334,0.357040229885
MIN_ONLY,64,0.8,2784,1137,0.408405172414,0.4096,0.0562795328291,TRUE,901,519,0.456464379947,458,0.402814423923,0.374679282188,0.431604055176,0.164511494253
MIN_ONLY,96,0.9,3085,2044,0.662560777958,0.6561,0.0516368379769,TRUE,1434,1157,0.566046966732,1060,0.518590998043,0.496915485009,0.54019676295,0.343598055105
MIN_ONLY,96,0.8,3085,1305,0.42301458671,0.4096,0.0534464423164,TRUE,1124,627,0.480459770115,512,0.392337164751,0.366198835097,0.419107476752,0.165964343598
MIN_ONLY,128,0.9,3429,2288,0.667249927092,0.6561,0.0489624447631,TRUE,1661,1294,0.565559440559,1161,0.50743006993,0.486949497045,0.527885735064,0.338582677165
MIN_ONLY,128,0.8,3429,1355,0.395158938466,0.4096,0.0506788801937,TRUE,1290,688,0.507749077491,548,0.40442804428,0.378602180186,0.430794274184,0.159813356664
MIN_COVERAGE_LEX,32,0.9,5473,3603,0.65832267495,0.6561,0.0387074477593,TRUE,3864,2962,0.822092700527,2704,0.750485706356,0.736094170605,0.764343683569,0.49406175772
