n,side,m,r,count
6,FUTURE,3,4,1
6,PAST,3,4,1
7,FUTURE,3,4,15
7,FUTURE,3,6,16
7,FUTURE,4,9,1
7,PAST,3,4,15
7,PAST,3,6,16
7,PAST,4,9,1
8,FUTURE,3,4,167
8,FUTURE,3,6,286
8,FUTURE,3,8,112
8,FUTURE,3,9,64
8,FUTURE,4,9,18
8,FUTURE,4,12,26
8,FUTURE,5,16,4
8,PAST,3,4,167
8,PAST,3,6,286
8,PAST,3,8,112
8,PAST,3,9,64
8,PAST,4,9,18
8,PAST,4,12,26
8,PAST,5,16,4
9,FUTURE,3,4,1730
9,FUTURE,3,6,3686
9,FUTURE,3,8,2316
9,FUTURE,3,9,1360
9,FUTURE,3,10,796
9,FUTURE,3,12,896
9,FUTURE,4,9,231
9,FUTURE,4,12,562
9,FUTURE,4,15,264
9,FUTURE,4,16,169
9,FUTURE,5,16,58
9,FUTURE,5,20,144
9,FUTURE,6,25,8
9,PAST,3,4,1730
9,PAST,3,6,3686
9,PAST,3,8,2316
9,PAST,3,9,1360
9,PAST,3,10,796
9,PAST,3,12,896
9,PAST,4,9,231
9,PAST,4,12,562
9,PAST,4,15,264
9,PAST,4,16,169
9,PAST,5,16,58
9,PAST,5,20,144
9,PAST,6,25,8
