selector,n,permutations,state,count,probability
MIN_COVERAGE_LEX,6,720,EMPTY,719,0.9986111111111111
MIN_COVERAGE_LEX,6,720,UNIQUE,1,0.001388888888888889
MIN_COVERAGE_LEX,6,720,TIE,0,0.0
MIN_COVERAGE_LEX,7,5040,EMPTY,5003,0.9926587301587302
MIN_COVERAGE_LEX,7,5040,UNIQUE,32,0.006349206349206349
MIN_COVERAGE_LEX,7,5040,TIE,5,0.000992063492063492
MIN_COVERAGE_LEX,8,40320,EMPTY,39429,0.9779017857142858
MIN_COVERAGE_LEX,8,40320,UNIQUE,677,0.016790674603174603
MIN_COVERAGE_LEX,8,40320,TIE,214,0.005307539682539683
MIN_COVERAGE_LEX,9,362880,EMPTY,344837,0.9502783289241623
MIN_COVERAGE_LEX,9,362880,UNIQUE,12220,0.03367504409171076
MIN_COVERAGE_LEX,9,362880,TIE,5823,0.016046626984126983
