n,side,m,k,l,r,count
6,FUTURE,3,2,2,4,1
6,PAST,3,2,2,4,1
7,FUTURE,3,2,2,4,15
7,FUTURE,3,2,3,6,8
7,FUTURE,3,3,2,6,8
7,FUTURE,4,3,3,9,1
7,PAST,3,2,2,4,15
7,PAST,3,2,3,6,8
7,PAST,3,3,2,6,8
7,PAST,4,3,3,9,1
8,FUTURE,3,2,2,4,167
8,FUTURE,3,2,3,6,143
8,FUTURE,3,2,4,8,56
8,FUTURE,3,3,2,6,143
8,FUTURE,3,3,3,9,64
8,FUTURE,3,4,2,8,56
8,FUTURE,4,3,3,9,18
8,FUTURE,4,3,4,12,13
8,FUTURE,4,4,3,12,13
8,FUTURE,5,4,4,16,4
8,PAST,3,2,2,4,167
8,PAST,3,2,3,6,143
8,PAST,3,2,4,8,56
8,PAST,3,3,2,6,143
8,PAST,3,3,3,9,64
8,PAST,3,4,2,8,56
8,PAST,4,3,3,9,18
8,PAST,4,3,4,12,13
8,PAST,4,4,3,12,13
8,PAST,5,4,4,16,4
9,FUTURE,3,2,2,4,1730
9,FUTURE,3,2,3,6,1843
9,FUTURE,3,2,4,8,1158
9,FUTURE,3,2,5,10,398
9,FUTURE,3,3,2,6,1843
9,FUTURE,3,3,3,9,1360
9,FUTURE,3,3,4,12,448
9,FUTURE,3,4,2,8,1158
9,FUTURE,3,4,3,12,448
9,FUTURE,3,5,2,10,398
9,FUTURE,4,3,3,9,231
9,FUTURE,4,3,4,12,281
9,FUTURE,4,3,5,15,132
9,FUTURE,4,4,3,12,281
9,FUTURE,4,4,4,16,169
9,FUTURE,4,5,3,15,132
9,FUTURE,5,4,4,16,58
9,FUTURE,5,4,5,20,72
9,FUTURE,5,5,4,20,72
9,FUTURE,6,5,5,25,8
9,PAST,3,2,2,4,1730
9,PAST,3,2,3,6,1843
9,PAST,3,2,4,8,1158
9,PAST,3,2,5,10,398
9,PAST,3,3,2,6,1843
9,PAST,3,3,3,9,1360
9,PAST,3,3,4,12,448
9,PAST,3,4,2,8,1158
9,PAST,3,4,3,12,448
9,PAST,3,5,2,10,398
9,PAST,4,3,3,9,231
9,PAST,4,3,4,12,281
9,PAST,4,3,5,15,132
9,PAST,4,4,3,12,281
9,PAST,4,4,4,16,169
9,PAST,4,5,3,15,132
9,PAST,5,4,4,16,58
9,PAST,5,4,5,20,72
9,PAST,5,5,4,20,72
9,PAST,6,5,5,25,8
