method,n,replicates,state,count,probability,ci95_low,ci95_high
EXACT,6,720,EMPTY,719,0.9986111111111111,0.9986111111111111,0.9986111111111111
EXACT,6,720,UNIQUE,1,0.001388888888888889,0.001388888888888889,0.001388888888888889
EXACT,6,720,TIE_BRIDGE_ONLY,0,0.0,0.0,0.0
EXACT,6,720,TIE_PAST_ENDPOINT,0,0.0,0.0,0.0
EXACT,6,720,TIE_FUTURE_ENDPOINT,0,0.0,0.0,0.0
EXACT,6,720,TIE_MIXED,0,0.0,0.0,0.0
EXACT,7,5040,EMPTY,5003,0.9926587301587302,0.9926587301587302,0.9926587301587302
EXACT,7,5040,UNIQUE,32,0.006349206349206349,0.006349206349206349,0.006349206349206349
EXACT,7,5040,TIE_BRIDGE_ONLY,3,0.0005952380952380953,0.0005952380952380953,0.0005952380952380953
EXACT,7,5040,TIE_PAST_ENDPOINT,1,0.0001984126984126984,0.0001984126984126984,0.0001984126984126984
EXACT,7,5040,TIE_FUTURE_ENDPOINT,1,0.0001984126984126984,0.0001984126984126984,0.0001984126984126984
EXACT,7,5040,TIE_MIXED,0,0.0,0.0,0.0
EXACT,8,40320,EMPTY,39429,0.9779017857142858,0.9779017857142858,0.9779017857142858
EXACT,8,40320,UNIQUE,674,0.01671626984126984,0.01671626984126984,0.01671626984126984
EXACT,8,40320,TIE_BRIDGE_ONLY,126,0.003125,0.003125,0.003125
EXACT,8,40320,TIE_PAST_ENDPOINT,42,0.0010416666666666667,0.0010416666666666667,0.0010416666666666667
EXACT,8,40320,TIE_FUTURE_ENDPOINT,42,0.0010416666666666667,0.0010416666666666667,0.0010416666666666667
EXACT,8,40320,TIE_MIXED,7,0.00017361111111111112,0.00017361111111111112,0.00017361111111111112
EXACT,9,362880,EMPTY,344837,0.9502783289241623,0.9502783289241623,0.9502783289241623
EXACT,9,362880,UNIQUE,12076,0.03327821869488536,0.03327821869488536,0.03327821869488536
EXACT,9,362880,TIE_BRIDGE_ONLY,3346,0.009220679012345679,0.009220679012345679,0.009220679012345679
EXACT,9,362880,TIE_PAST_ENDPOINT,1114,0.0030698853615520284,0.0030698853615520284,0.0030698853615520284
EXACT,9,362880,TIE_FUTURE_ENDPOINT,1114,0.0030698853615520284,0.0030698853615520284,0.0030698853615520284
EXACT,9,362880,TIE_MIXED,393,0.0010830026455026455,0.0010830026455026455,0.0010830026455026455
