PHASE,K,n,seed,N_total,N_empty,N_nonempty,backend_failures,analyzable,P_R_ge_5_given_E,P_R_ge_5_given_E_ci95_low,P_R_ge_5_given_E_ci95_high,U_n_star,U_n_star_ci95_low,U_n_star_ci95_high,Sbar_n_tie,Sbar_n_tie_ci95_low,Sbar_n_tie_ci95_high,H_tie_n,H_tie_n_ci95_low,H_tie_n_ci95_high
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,20,260828020,100000,4,99996,0,YES,0.10229409176367055,0.10043111204822508,0.10418762694494377,0.4451978079123165,0.44211960522038135,0.44828022101821069,1.1068548009412038,1.1022681368362153,1.111777277765811,1.6343649217207754,1.6228809919082541,1.6455641850928
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,22,260828022,100000,0,100000,0,YES,0.092799999999999994,0.091017260899072805,0.094614022739814813,0.45476,0.4516755325864627,0.45784794303196391,1.0831260884529805,1.0789683884097059,1.0871273032645496,1.5793697837257963,1.5683611156751351,1.5894089460785779
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,24,260828024,100000,0,100000,0,YES,0.085860000000000006,0.084139468433982748,0.087612348378907565,0.47044000000000002,0.46734764000863577,0.47353463097458032,1.0668380082799651,1.0627061034323022,1.0712792281659076,1.5373053707637374,1.5259350003097329,1.5480218777114119
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,100000,0,100000,0,YES,0.076619999999999994,0.074987637180265826,0.078284889506944982,0.48464000000000002,0.48154313692590911,0.48773804312490954,1.0431097356963641,1.038910286379368,1.0472554512104288,1.474834928899726,1.4627388220816697,1.4854079301694267
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,100000,0,100000,0,YES,0.072050000000000003,0.070463777120385152,0.07366910066267468,0.49392000000000003,0.49082154702259306,0.49701892008085613,1.0328624573515346,1.0289097618098735,1.0370160284845302,1.4454701126559786,1.4342475686430673,1.4562369641371253
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,30,260828030,100000,0,100000,0,YES,0.066379999999999995,0.064853646651227601,0.067939666736528917,0.50516000000000005,0.50206105116706001,0.50825855240961815,1.0178960175976353,1.0142199000539325,1.0220355735873601,1.4058966800053392,1.3951395141365641,1.4168072616487366
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,32,260828032,100000,0,100000,0,YES,0.060639999999999999,0.059177552028169968,0.062136202342119008,0.51534000000000002,0.51224195383623605,0.51843686764946983,1.0068105781691483,1.0029504344716593,1.0111376540812234,1.372268259555423,1.3611820223987703,1.3837686050570388
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,34,260828034,100000,0,100000,0,YES,0.055320000000000001,0.053920130793380934,0.056754032292425934,0.52576000000000001,0.52266421015447406,0.52885381080196558,0.99320609635307,0.9894582594740825,0.99724774729078391,1.335258268324506,1.3242468111615295,1.3464662473170645
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,36,260828036,100000,0,100000,0,YES,0.052600000000000001,0.051233515105430213,0.054000856947709105,0.53305000000000002,0.52995659186328292,0.53614086902997538,0.98292050352895466,0.97916839848113846,0.98706522944547448,1.3073686780615243,1.2961483128299647,1.3187899748048424
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,38,260828038,100000,0,100000,0,YES,0.048160000000000001,0.046850261281754971,0.04950445187982408,0.54107000000000005,0.53797997818376131,0.5441568665631713,0.97421734062602228,0.97016166153939321,0.97777090655003396,1.2770641899201454,1.2648713583310389,1.2867449351817219
