interval_size,baseline_replicates,baseline_mean_height,baseline_sd_height,baseline_standard_error,selected_interval_count,selected_mean_height,selected_mean_residual
6,4000,4.41775,0.644467820914,0.0101899309639,5,4.8,0.38225
7,4000,4.79725,0.708002651435,0.0111945048399,62,4.8064516129,0.00920161290323
8,4000,5.13875,0.748089798812,0.0118283382929,311,5.14790996785,0.00915996784566
9,4000,5.46525,0.790220570244,0.0124944842794,781,5.50448143406,0.0392314340589
10,4000,5.769,0.850188040922,0.0134426532437,1555,5.8038585209,0.0348585209003
11,4000,6.083,0.85574182644,0.0135304663031,2115,6.01276595745,-0.0702340425532
12,4000,6.3095,0.888767251201,0.0140526441178,2359,6.28020347605,-0.0292965239508
13,4000,6.618,0.925899736786,0.014639760266,2436,6.55090311987,-0.0670968801314
14,4000,6.8385,0.946383463727,0.0149636364265,2269,6.76421330983,-0.0742866901719
15,4000,7.0875,0.962847609375,0.0152239574264,2171,7.00690925841,-0.0805907415937
16,4000,7.352,0.999172450779,0.0157983035988,2100,7.25571428571,-0.0962857142857
17,4000,7.538,1.01946840508,0.0161192108132,2259,7.50641876937,-0.031581230633
18,4000,7.80175,1.03451171628,0.0163570664479,2347,7.71921602045,-0.0825339795484
19,4000,7.9795,1.04897799725,0.0165857984335,2320,7.93577586207,-0.043724137931
20,4000,8.2185,1.05358210825,0.0166585958203,2400,8.13583333333,-0.0826666666667
21,4000,8.43175,1.10052020594,0.017400752309,2289,8.30930537353,-0.122444626474
22,4000,8.61325,1.08856358573,0.0172117015441,2357,8.50827322868,-0.104976771319
23,4000,8.83225,1.11822293982,0.0176806571084,2246,8.71638468388,-0.115865316118
24,4000,9.02075,1.1422108382,0.0180599390842,2293,8.95682511993,-0.0639248800698
25,4000,9.1875,1.15137968055,0.0182049112109,2191,9.0762209037,-0.111279096303
26,4000,9.42275,1.16312968115,0.0183906950328,2026,9.26456071076,-0.15818928924
27,4000,9.5525,1.16622629491,0.0184396567955,1840,9.49184782609,-0.060652173913
28,4000,9.74725,1.18773739418,0.0187797771388,1501,9.59360426382,-0.153645736176
29,4000,9.88125,1.20872399286,0.0191116043997,1175,9.84,-0.04125
30,4000,10.096,1.24224385386,0.0196415999377,954,9.96855345912,-0.127446540881
31,4000,10.2735,1.22966490108,0.0194427092309,642,10.0841121495,-0.189387850467
32,4000,10.3915,1.2498473025,0.0197618210166,470,10.0574468085,-0.334053191489
33,4000,10.59875,1.27088639365,0.0200944782562,286,10.3951048951,-0.203645104895
34,4000,10.747,1.25474483308,0.0198392577744,182,10.4505494505,-0.296450549451
35,4000,10.87975,1.26676403102,0.0200292979799,108,10.3703703704,-0.50937962963
36,4000,11.05925,1.25961744054,0.019916300463,74,10.7162162162,-0.343033783784
37,4000,11.15975,1.27813862593,0.0202091461168,41,10.5365853659,-0.623164634146
38,4000,11.34775,1.28208068007,0.0202714754656,13,10.7692307692,-0.578519230769
39,4000,11.4965,1.28526290119,0.0203217907994,12,11.4166666667,-0.0798333333333
40,4000,11.65825,1.30417872933,0.0206208763032,9,10.5555555556,-1.10269444444
41,4000,11.79425,1.30607939971,0.0206509285406,3,10.6666666667,-1.12758333333
42,4000,11.9235,1.33195017655,0.0210599814388,2,9.5,-2.4235
