n,replicate,side,interval_size,height,latent_duration,height_duration_estimate,signed_duration_error,absolute_relative_error,baseline_mean_height,height_residual
64,0,PAST,14,7,0.425762362418,0.4375,0.0117376375821,0.0275685185405,6.8385,0.1615
64,0,FUTURE,13,7,0.340219669743,0.4375,0.0972803302572,0.285933880104,6.618,0.382
64,1,PAST,11,4,0.339294022881,0.25,-0.0892940228808,0.263175938446,6.083,-2.083
64,1,FUTURE,11,5,0.400514136029,0.3125,-0.0880141360294,0.219752882887,6.083,-1.083
64,2,PAST,12,5,0.391142363108,0.3125,-0.0786423631081,0.201058158168,6.3095,-1.3095
64,2,FUTURE,13,6,0.327816298486,0.375,0.0471837015142,0.143933360642,6.618,-0.618
64,3,PAST,10,6,0.314265194714,0.375,0.0607348052858,0.193259725567,5.769,0.231
64,3,FUTURE,11,6,0.336101203198,0.375,0.0388987968021,0.115735369085,6.083,-0.083
64,4,PAST,15,6,0.505681810364,0.375,-0.130681810364,0.258426954828,7.0875,-1.0875
64,4,FUTURE,13,7,0.329540844483,0.4375,0.107959155517,0.327604778964,6.618,0.382
64,6,PAST,12,6,0.377966049749,0.375,-0.00296604974884,0.007847397275,6.3095,-0.3095
64,6,FUTURE,12,6,0.42028172512,0.375,-0.0452817251203,0.107741361125,6.3095,-0.3095
64,7,PAST,17,7,0.39384963955,0.4375,0.0436503604498,0.110830012437,7.538,-0.538
64,7,FUTURE,11,5,0.381590847476,0.3125,-0.0690908474762,0.181060022621,6.083,-1.083
64,8,PAST,14,6,0.433030695668,0.375,-0.0580306956676,0.134010582271,6.8385,-0.8385
64,8,FUTURE,14,7,0.428199214315,0.4375,0.00930078568506,0.0217206976896,6.8385,0.1615
64,10,PAST,15,7,0.416130672359,0.4375,0.0213693276414,0.0513524454236,7.0875,-0.0875
64,10,FUTURE,17,7,0.406754803296,0.4375,0.0307451967045,0.0755865608848,7.538,-0.538
64,12,PAST,9,7,0.420999754306,0.4375,0.0165002456939,0.0391930055187,5.46525,1.53475
64,12,FUTURE,14,6,0.364239444006,0.375,0.0107605559939,0.0295425335475,6.8385,-0.8385
64,14,PAST,15,6,0.490991966899,0.375,-0.115991966899,0.236240050182,7.0875,-1.0875
64,14,FUTURE,10,5,0.326355914744,0.3125,-0.0138559147437,0.0424564535764,5.769,-0.769
64,16,PAST,18,8,0.468755368235,0.5,0.0312446317653,0.0666544510904,7.80175,0.19825
64,16,FUTURE,15,7,0.333548051849,0.4375,0.103951948151,0.311655090097,7.0875,-0.0875
