PHASE,n,k_retained,retained_fraction,u_orbital_given_k,e_available_given_k,u_orbital_given_available_and_k
POST_HOC_EXPLORATORY_MACROTEST,6,0,0,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,6,1,0.16666666666666667,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,6,2,0.33333333333333333,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,6,3,0.5,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,6,4,0.66666666666666667,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,6,5,0.83333333333333333,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,6,6,1,0.0013888888888888889,0.0013888888888888889,1
POST_HOC_EXPLORATORY_MACROTEST,7,0,0,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,7,1,0.14285714285714286,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,7,2,0.28571428571428571,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,7,3,0.42857142857142857,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,7,4,0.57142857142857143,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,7,5,0.71428571428571429,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,7,6,0.85714285714285714,0.0013888888888888889,0.0013888888888888889,1
POST_HOC_EXPLORATORY_MACROTEST,7,7,1,0.0071428571428571429,0.0073412698412698413,0.97297297297297297
POST_HOC_EXPLORATORY_MACROTEST,8,0,0,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,8,1,0.125,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,8,2,0.25,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,8,3,0.375,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,8,4,0.5,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,8,5,0.625,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,8,6,0.75,0.0013888888888888889,0.0013888888888888889,1
POST_HOC_EXPLORATORY_MACROTEST,8,7,0.875,0.0071428571428571429,0.0073412698412698413,0.97297297297297297
POST_HOC_EXPLORATORY_MACROTEST,8,8,1,0.020337301587301587,0.022098214285714286,0.92031425364758698
POST_HOC_EXPLORATORY_MACROTEST,9,0,0,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,9,1,0.11111111111111111,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,9,2,0.22222222222222222,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,9,3,0.33333333333333333,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,9,4,0.44444444444444444,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,9,5,0.55555555555555556,0,0,NA
POST_HOC_EXPLORATORY_MACROTEST,9,6,0.66666666666666667,0.0013888888888888889,0.0013888888888888889,1
POST_HOC_EXPLORATORY_MACROTEST,9,7,0.77777777777777778,0.0071428571428571429,0.0073412698412698413,0.97297297297297297
POST_HOC_EXPLORATORY_MACROTEST,9,8,0.88888888888888889,0.020337301587301587,0.022098214285714286,0.92031425364758698
POST_HOC_EXPLORATORY_MACROTEST,9,9,1,0.042501653439153439,0.049721671075837743,0.85479133181843374
