method,n,replicates,state,count,probability,ci95_low,ci95_high
MONTE_CARLO,6,20000,EMPTY,19969,0.99845,0.9978007844517176,0.9989077748039517
MONTE_CARLO,6,20000,UNIQUE,31,0.00155,0.001092225196048294,0.002199215548282407
MONTE_CARLO,6,20000,TIE_BRIDGE_ONLY,0,0.0,0.0,0.00019203605610462553
MONTE_CARLO,6,20000,TIE_PAST_ENDPOINT,0,0.0,0.0,0.00019203605610462553
MONTE_CARLO,6,20000,TIE_FUTURE_ENDPOINT,0,0.0,0.0,0.00019203605610462553
MONTE_CARLO,6,20000,TIE_MIXED,0,0.0,0.0,0.00019203605610462553
MONTE_CARLO,7,20000,EMPTY,19872,0.9936,0.9923960897666738,0.9946143322387399
MONTE_CARLO,7,20000,UNIQUE,109,0.00545,0.00452031923317689,0.006569623629916195
MONTE_CARLO,7,20000,TIE_BRIDGE_ONLY,12,0.0006,0.0003432700669267663,0.0010485355459105335
MONTE_CARLO,7,20000,TIE_PAST_ENDPOINT,5,0.00025,0.00010678963454394949,0.0005851504035326238
MONTE_CARLO,7,20000,TIE_FUTURE_ENDPOINT,2,0.0001,2.7424035272726838e-05,0.0003645736136206778
MONTE_CARLO,7,20000,TIE_MIXED,0,0.0,0.0,0.00019203605610462553
MONTE_CARLO,8,20000,EMPTY,19528,0.9764,0.9742029347186725,0.9784140933270711
MONTE_CARLO,8,20000,UNIQUE,348,0.0174,0.0156783239634561,0.019307029237896074
MONTE_CARLO,8,20000,TIE_BRIDGE_ONLY,75,0.00375,0.0029929385837864702,0.00469765720189737
MONTE_CARLO,8,20000,TIE_PAST_ENDPOINT,23,0.00115,0.0007664595208507284,0.0017251348523248564
MONTE_CARLO,8,20000,TIE_FUTURE_ENDPOINT,23,0.00115,0.0007664595208507284,0.0017251348523248564
MONTE_CARLO,8,20000,TIE_MIXED,3,0.00015,5.101481799495055e-05,0.0004409636272928435
MONTE_CARLO,9,20000,EMPTY,19052,0.9526,0.9495671373604043,0.9554590316016097
MONTE_CARLO,9,20000,UNIQUE,629,0.03145,0.029119712651105783,0.03396024433706986
MONTE_CARLO,9,20000,TIE_BRIDGE_ONLY,173,0.00865,0.007457637640207534,0.01003107619212648
MONTE_CARLO,9,20000,TIE_PAST_ENDPOINT,61,0.00305,0.002375347333783003,0.003915517302379385
MONTE_CARLO,9,20000,TIE_FUTURE_ENDPOINT,68,0.0034,0.002683086115651497,0.004307644095271616
MONTE_CARLO,9,20000,TIE_MIXED,17,0.00085,0.0005307884848425495,0.001360921109966698
MONTE_CARLO,12,20000,EMPTY,15487,0.77435,0.7685044197115635,0.7800902101044519
MONTE_CARLO,12,20000,UNIQUE,2235,0.11175,0.10745793116631956,0.11619118483124567
MONTE_CARLO,12,20000,TIE_BRIDGE_ONLY,1150,0.0575,0.054357844887079176,0.06081210702257342
MONTE_CARLO,12,20000,TIE_PAST_ENDPOINT,384,0.0192,0.017388433588965795,0.021196228282584405
MONTE_CARLO,12,20000,TIE_FUTURE_ENDPOINT,370,0.0185,0.016722841724898997,0.02046208899712975
MONTE_CARLO,12,20000,TIE_MIXED,374,0.0187,0.01691294194389044,0.020671911963715872
MONTE_CARLO,16,20000,EMPTY,8222,0.4111,0.40429859679456837,0.41793554721620707
MONTE_CARLO,16,20000,UNIQUE,4574,0.2287,0.22293168994372423,0.23457250882031808
MONTE_CARLO,16,20000,TIE_BRIDGE_ONLY,3194,0.1597,0.1546884685528567,0.16484223118692812
MONTE_CARLO,16,20000,TIE_PAST_ENDPOINT,1046,0.0523,0.049299616971929236,0.05547233211270684
MONTE_CARLO,16,20000,TIE_FUTURE_ENDPOINT,994,0.0497,0.04677361416941829,0.052799333502709545
MONTE_CARLO,16,20000,TIE_MIXED,1970,0.0985,0.09444693123396827,0.10270727371908375
MONTE_CARLO,24,20000,EMPTY,638,0.0319,0.029552965126895973,0.03442681902882918
MONTE_CARLO,24,20000,UNIQUE,7250,0.3625,0.35586464621379243,0.3691881637016363
