PHASE,method,n,r,count,p_given_E,p_given_E_ci95_low,p_given_E_ci95_high,q_given_tie,q_given_tie_ci95_low,q_given_tie_ci95_high
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,EXACT,6,1,1,1,1,1,NA,NA,NA
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,EXACT,7,1,36,0.97297297297297303,0.97297297297297303,0.97297297297297303,NA,NA,NA
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,EXACT,7,2,1,0.027027027027027029,0.027027027027027029,0.027027027027027029,1,1,1
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,EXACT,8,1,820,0.92031425364758701,0.92031425364758701,0.92031425364758701,NA,NA,NA
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,EXACT,8,2,69,0.077441077441077436,0.077441077441077436,0.077441077441077436,0.971830985915493,0.971830985915493,0.971830985915493
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,EXACT,8,3,2,0.0022446689113355782,0.0022446689113355782,0.0022446689113355782,0.028169014084507043,0.028169014084507043,0.028169014084507043
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,EXACT,9,1,15423,0.8547913318184337,0.8547913318184337,0.8547913318184337,NA,NA,NA
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,EXACT,9,2,2466,0.13667350218921465,0.13667350218921465,0.13667350218921465,0.94122137404580153,0.94122137404580153,0.94122137404580153
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,EXACT,9,3,128,0.0070941639416948398,0.0070941639416948398,0.0070941639416948398,0.048854961832061068,0.048854961832061068,0.048854961832061068
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,EXACT,9,4,26,0.0014410020506567644,0.0014410020506567644,0.0014410020506567644,0.0099236641221374048,0.0099236641221374048,0.0099236641221374048
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,1,41377,0.48186190592646938,0.47852073424921326,0.48520470039249741,NA,NA,NA
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,2,25433,0.29618372171563662,0.29313909718702513,0.29924658138883431,0.57163085498516586,0.56702681140287947,0.57622253035637028
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,3,6557,0.07636050262609323,0.074603095698156735,0.078155811960805482,0.14737480895441876,0.14411144901638076,0.15069905526323343
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,4,6875,0.080063818141587764,0.078267337027283876,0.081897870332439796,0.15452216128742247,0.15119343596480664,0.15791053887628906
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,5,1477,0.017200619548381837,0.01635233880447777,0.018092095647351703,0.033196979232221521,0.0315722043291774,0.034902355131802121
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,6,2116,0.024642187518196322,0.023626322550137628,0.025700582055108737,0.047559111750427041,0.045620251215976099,0.049576093429867116
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,7,433,0.0050425648371356371,0.0045904404124535135,0.0055389723802723011,0.0097320866672660246,0.0088612784084431788,0.010687547511068894
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,8,819,0.0095377842993396925,0.0089092804972257487,0.010210169039191648,0.018407803650094399,0.017199710738597614,0.019699051145480012
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,9,183,0.0021311532683506271,0.001844186579139618,0.0024626635557548605,0.0041130989840870271,0.0035596986867851973,0.0047521220743295045
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,10,218,0.0025387508879805283,0.0022236973776391489,0.0028983115293517163,0.0048997572597320868,0.0042922969070893508,0.0055927045762009832
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,11,53,0.00061721925258242211,0.00047194951450808879,0.00080716803831409542,0.0011912253888339476,0.00091090998351245117,0.0015576680952356144
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,12,168,0.0019564685742235266,0.0016823593537246074,0.0022751370216999916,0.003775959723096287,0.0032473159663516157,0.0043902844852592438
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,13,28,0.00032607809570392107,0.00022562288601693146,0.00047123840102211896,0.00062932662051604787,0.0004354659731734535,0.0009094115897348747
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,14,50,0.00058228231375700198,0.00044173714951252307,0.00076750965141568505,0.0011237975366357998,0.00085259524110994163,0.0014811387757373553
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,15,21,0.00024455857177794083,0.00015996957964206298,0.00037385995297771013,0.00047199496538703588,0.00030874888235326214,0.00072149253611993936
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,16,23,0.00026784986432822088,0.00017849731160050853,0.0004019127222819152,0.00051694686685246785,0.00034450901623094086,0.00077562844350943967
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,17,5,5.8228231375700194e-05,2.4871868310599217e-05,0.00013631365420796831,0.00011237975366357997,4.8002838496046107e-05,0.00026307024983972336
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,18,14,0.00016303904785196053,9.712541590783091e-05,0.0002736723622926647,0.00031466331025802394,0.00018745512067964835,0.00052815015335842678
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,19,2,2.3291292550280077e-05,6.3873357511875318e-06,8.4927434873403979e-05,4.4951901465431989e-05,1.232751931373262e-05,0.00016390150712126836
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,20,7,8.1519523925980267e-05,3.9489342505132845e-05,0.00016827668127608538,0.00015733165512901197,7.6214906236151618e-05,0.00032475422336679692
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,21,1,1.1645646275140038e-05,2.0557454835845514e-06,6.5968774509681612e-05,2.2475950732715994e-05,3.9675682177289025e-06,0.00012731343758368258
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,22,3,3.4936938825420114e-05,1.1881781528082494e-05,0.00010272323972783436,6.7427852198147977e-05,2.2931813581925355e-05,0.00019824523348666511
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,23,0,0,0,4.4734269361940829e-05,0,0,8.6332985167821981e-05
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,24,3,3.4936938825420114e-05,1.1881781528082494e-05,0.00010272323972783436,6.7427852198147977e-05,2.2931813581925355e-05,0.00019824523348666511
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,25,0,0,0,4.4734269361940829e-05,0,0,8.6332985167821981e-05
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,26,1,1.1645646275140038e-05,2.0557454835845514e-06,6.5968774509681612e-05,2.2475950732715994e-05,3.9675682177289025e-06,0.00012731343758368258
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,27,0,0,0,4.4734269361940829e-05,0,0,8.6332985167821981e-05
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,20,28,2,2.3291292550280077e-05,6.3873357511875318e-06,8.4927434873403979e-05,4.4951901465431989e-05,1.232751931373262e-05,0.00016390150712126836
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,1,44033,0.47418694809390483,0.47097646157494449,0.47739957020782614,NA,NA,NA
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,2,27136,0.29222485461985787,0.28930840240311145,0.29515849672779132,0.55575808466627075,0.55134658852839968,0.56016080797206413
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,3,7397,0.079657548998492353,0.077933392476098706,0.081416481773747079,0.15149405042292174,0.14834135532744028,0.15470157853844022
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,4,7478,0.080529829851389192,0.078796959138707656,0.08229740465039373,0.15315296864439756,0.14998590813046123,0.15637460116849086
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,5,1614,0.017381003661425802,0.016560197887092124,0.018241738023063111,0.033055481598296022,0.031506081025508038,0.034678350007615204
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,6,2423,0.026093043290975663,0.025087171807864534,0.027138122586954316,0.04962418334118418,0.047733114676706892,0.051586112965736869
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,7,529,0.0056967477923756194,0.0052327054145635864,0.0062016854327238873,0.010834169619268029,0.0099536539247150856,0.011791649393806482
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,8,1013,0.010908895110919664,0.010260733427059543,0.011597520839977235,0.020746718004382821,0.01951963657325817,0.022049203900901385
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,9,295,0.0031768253284514322,0.0028348592367748093,0.0035598951637743608,0.0060417392016712066,0.0053921694781005301,0.0067690270337696107
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,10,354,0.0038121903941417189,0.0034358313930796182,0.0042296005731001507,0.0072500870420054474,0.0065353774493630799,0.0080423246248678883
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,11,87,0.00093689424940771049,0.00075968532351062981,0.0011553922354933844,0.0017818010526962542,0.0014448856754176015,0.0021971047860957181
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,12,232,0.0024983846650872281,0.0021972272292256458,0.0028407019741247515,0.0047514694738566773,0.0041792559233249649,0.0054016041406005598
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,13,30,0.00032306698255438296,0.00022631841422962823,0.00046115539492787717,0.00061441415610215657,0.00043043159701089948,0.00087696874493348328
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,14,72,0.00077536075813051909,0.0006158020356109746,0.0009762219050123797,0.0014745939746451757,0.0011712172088665879,0.0018564074317075376
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,15,36,0.00038768037906525954,0.00028005917817956489,0.00053663607833020458,0.00073729698732258786,0.00053264288972394019,0.0010205037805961202
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,16,43,0.00046306267499461557,0.00034382165278199546,0.00062363195897208222,0.00088066029041309116,0.00065391571089302796,0.0011859350091986563
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,17,9,9.6920094766314886e-05,5.0992344795387001e-05,0.00018420639862919391,0.00018432424683064696,9.6979473591948746e-05,0.00035030871903756269
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,18,22,0.00023691578720654748,0.00015646823063811239,0.00035871031538304074,0.00045057038114158148,0.00029758247037951497,0.00068215610039729774
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,19,4,4.3075597673917726e-05,1.6751382179476301e-05,0.00011076282178488449,8.1921887480287546e-05,3.1858268770405921e-05,0.00021064131687937421
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,20,14,0.00015076459185871203,8.9813126064710471e-05,0.00025307015682009054,0.00028672660618100638,0.00017081160128777349,0.0004812651983214692
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,21,7,7.5382295929356016e-05,3.651633480423528e-05,0.00015560859283625757,0.00014336330309050319,6.9448166752864843e-05,0.00029592458308475407
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,22,5,5.384449709239716e-05,2.2999363069844908e-05,0.0001260517487865599,0.00010240235935035943,4.3740935067922043e-05,0.00023971637197780441
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,23,1,1.0768899418479431e-05,1.9009777063082026e-06,6.1002502581920549e-05,2.0480471870071886e-05,3.6153153300613365e-06,0.00011601110613188004
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,24,10,0.00010768899418479432,5.8497524953943046e-05,0.0001982381263626819,0.00020480471870071886,0.00011125330248227289,0.00037699261154318484
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,25,0,0,0,4.1366572396184714e-05,0,0,7.8668700065995137e-05
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,26,3,3.2306698255438298e-05,1.0987252300245978e-05,9.4990043772070804e-05,6.1441415610215659e-05,2.0895840968132868e-05,0.00018064602328570102
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,27,5,5.384449709239716e-05,2.2999363069844908e-05,0.0001260517487865599,0.00010240235935035943,4.3740935067922043e-05,0.00023971637197780441
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,22,28,2,2.1537798836958863e-05,5.9064611608459681e-06,7.8533927019426786e-05,4.0960943740143773e-05,1.1233040067891705e-05,0.0001493511027899959
