PHASE,method,interval_method_probabilities,interval_method_distributional,n,seed,N_total,N_empty,N_nonempty,N_R_ge_2,backend_failures,E_n,E_n_ci95_low,E_n_ci95_high,U_n,U_n_star,U_n_star_ci95_low,U_n_star_ci95_high,P_R_2_given_E,P_R_2_given_E_ci95_low,P_R_2_given_E_ci95_high,P_R_3_4_given_E,P_R_3_4_given_E_ci95_low,P_R_3_4_given_E_ci95_high,P_R_ge_5_given_E,P_R_ge_5_given_E_ci95_low,P_R_ge_5_given_E_ci95_high,Sbar_n,Sbar_n_ci95_low,Sbar_n_ci95_high,Sbar_n_tie,Sbar_n_tie_ci95_low,Sbar_n_tie_ci95_high,H_n,H_n_ci95_low,H_n_ci95_high,H_tie_n,H_tie_n_ci95_low,H_tie_n_ci95_high,median_R_given_E,median_R_given_E_ci95_low,median_R_given_E_ci95_high,q75_R_given_E,q75_R_given_E_ci95_low,q75_R_given_E_ci95_high,q90_R_given_E,q90_R_given_E_ci95_low,q90_R_given_E_ci95_high,q95_R_given_E,q95_R_given_E_ci95_low,q95_R_given_E_ci95_high,q99_R_given_E,q99_R_given_E_ci95_low,q99_R_given_E_ci95_high,median_R_given_tie,median_R_given_tie_ci95_low,median_R_given_tie_ci95_high,q75_R_given_tie,q75_R_given_tie_ci95_low,q75_R_given_tie_ci95_high,q90_R_given_tie,q90_R_given_tie_ci95_low,q90_R_given_tie_ci95_high,q95_R_given_tie,q95_R_given_tie_ci95_low,q95_R_given_tie_ci95_high,q99_R_given_tie,q99_R_given_tie_ci95_low,q99_R_given_tie_ci95_high,max_R_observed,shannon_decomposition_residual
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,EXACT,EXACT_POINT,EXACT_POINT,6,NA,720,719,1,0,0,0.0013888888888888889,0.0013888888888888889,0.0013888888888888889,0.0013888888888888889,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,EXACT,EXACT_POINT,EXACT_POINT,7,NA,5040,5003,37,1,0,0.0073412698412698412,0.0073412698412698412,0.0073412698412698412,0.0071428571428571426,0.97297297297297303,0.97297297297297303,0.97297297297297303,0.027027027027027029,0.027027027027027029,0.027027027027027029,0,0,0,0,0,0,0.018733707582701223,0.018733707582701223,0.018733707582701223,0.69314718055994529,0.69314718055994529,0.69314718055994529,0.12425083738963087,0.12425083738963087,0.12425083738963087,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.3877787807814457e-16
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,EXACT,EXACT_POINT,EXACT_POINT,8,NA,40320,39429,891,71,0,0.022098214285714287,0.022098214285714287,0.022098214285714287,0.020337301587301588,0.92031425364758701,0.92031425364758701,0.92031425364758701,0.077441077441077436,0.077441077441077436,0.077441077441077436,0.0022446689113355782,0.0022446689113355782,0.0022446689113355782,0,0,0,0.056144085337791749,0.056144085337791749,0.056144085337791749,0.7045687329010204,0.7045687329010204,0.7045687329010204,0.28822635542800817,0.28822635542800817,0.28822635542800817,0.12831870551552965,0.12831870551552965,0.12831870551552965,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1.1102230246251565e-16
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,EXACT,EXACT_POINT,EXACT_POINT,9,NA,362880,344837,18043,2620,0,0.049721671075837741,0.049721671075837741,0.049721671075837741,0.042501653439153436,0.8547913318184337,0.8547913318184337,0.8547913318184337,0.13667350218921465,0.13667350218921465,0.13667350218921465,0.0085351659923516045,0.0085351659923516045,0.0085351659923516045,0,0,0,0.10452624140106746,0.10452624140106746,0.10452624140106746,0.71983472274788562,0.71983472274788562,0.71983472274788562,0.45065013648072699,0.45065013648072699,0.45065013648072699,0.25028070292523119,0.25028070292523119,0.25028070292523119,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,-5.5511151231257827e-17
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,WILSON_95,PERCENTILE_95_LINEAR,20,260828020,100000,14131,85869,44492,0,0.85868999999999995,0.85651721860705721,0.860835224594238,0.41377000000000003,0.48186190592646938,0.47852073424921326,0.48520470039249741,0.29618372171563662,0.29313909718702513,0.29924658138883431,0.15642432076768101,0.15401004422608883,0.15886933652323515,0.065530051590212995,0.063894277517375087,0.06720469705445456,0.52363034801068054,0.51952553424458725,0.52750925328343801,1.010599980970267,1.0069135337525057,1.0146988531353887,1.4034328276866255,1.39589957685338,1.410248270386288,1.372112532470942,1.3613585744001513,1.3827949565980577,2,2,2,2,2,2,4,4,4,5,5,5,8,8,8,2,2,2,4,4,4,5,5,5,6,6,6,10,10,10,28,0
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,WILSON_95,PERCENTILE_95_LINEAR,22,260828022,100000,7140,92860,48827,0,0.92859999999999998,0.92698756033007601,0.93017951194981785,0.44033,0.47418694809390483,0.47097646157494449,0.47739957020782614,0.29222485461985787,0.28930840240311145,0.29515849672779132,0.16018737884988155,0.15784238204509474,0.16256048942145632,0.073400818436355805,0.071741032276722613,0.075095898487845605,0.54251074188400161,0.53871135178654506,0.54640313901400039,1.031755944279771,1.0278161762321982,1.035929930266104,1.4465837246174853,1.4392535413204048,1.4536108246335566,1.4354336797385479,1.4245663184586599,1.4462165774791935,2,2,2,2,2,2,4,4,4,6,6,6,10,9,10,2,2,2,4,4,4,6,6,6,7,7,7,12,11,12,36,2.2204460492503131e-16
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,WILSON_95,PERCENTILE_95_LINEAR,24,260828024,100000,3384,96616,50236,0,0.96616000000000002,0.96502127588671205,0.96726291080016469,0.46379999999999999,0.48004471309099944,0.47689530168038835,0.48319571128568634,0.28811998012751511,0.28527274144686204,0.29098406686668249,0.15575060031464769,0.15347777793322884,0.15805079636741545,0.076084706466837793,0.074429693554288634,0.077773427841727222,0.54065451563608546,0.53668818344224012,0.54440825688155159,1.0398096321899839,1.0358651378906676,1.0437857810710602,1.4516858361725795,1.44432678577795,1.4586321790568135,1.4603857547919505,1.4494187958660338,1.470368156177845,2,2,2,2,2,2,4,4,4,6,6,6,10,10,10,2,2,2,4,4,4,6,6,6,8,7,8,12,12,12,46,-6.6613381477509392e-16
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,WILSON_95,PERCENTILE_95_LINEAR,26,260828026,100000,1264,98736,50514,0,0.98736000000000002,0.98664863551886628,0.98803392245203681,0.48221999999999998,0.48839329120077785,0.48527589544579591,0.49151159007031292,0.28878018149408524,0.28596163640780958,0.29161516153149947,0.15018838113757899,0.14797360934607329,0.15243037166691142,0.072638146167557927,0.071035828820108879,0.074273716413508287,0.52758391317221509,0.52367662477541099,0.53131491594695235,1.0312294661078478,1.0272247905368288,1.0351780613360726,1.42959347077606,1.4222072243106993,1.4362681676865354,1.4400040756434025,1.4288307009750909,1.4501878928256637,2,2,2,2,2,2,4,4,4,6,6,6,10,10,10,2,2,2,4,4,4,6,6,6,7,7,8,12,12,12,46,2.2204460492503131e-16
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,WILSON_95,PERCENTILE_95_LINEAR,28,260828028,100000,493,99507,50205,0,0.99507000000000001,0.99461646622539301,0.99548549941531406,0.49302000000000001,0.4954626307696946,0.49235635130740735,0.49856926054792322,0.28729637110957018,0.28449310672392819,0.29011605767031218,0.14694443606982424,0.14475824869600559,0.14915788174817277,0.070296562050910991,0.068724691712400809,0.071901608434117276,0.51855249650641533,0.51463860785897175,0.52235288257178514,1.0277781748802681,1.0236531815462686,1.0319340757786992,1.4147793901354297,1.4078391762224971,1.42172636065651,1.4303665686461478,1.4186741581732365,1.4412647234931029,2,2,2,2,2,2,4,4,4,6,6,6,10,10,10,2,2,2,4,4,4,6,6,6,7,7,8,12,12,12,39,-2.2204460492503131e-16
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,WILSON_95,PERCENTILE_95_LINEAR,30,260828030,100000,174,99826,49336,0,0.99826000000000004,0.99798184513790955,0.99849987542713936,0.50490000000000002,0.50578005729970144,0.50267842700922793,0.50888124275620994,0.28751026786608697,0.28471084129791063,0.29032604767180997,0.1410955061807545,0.13894980391190667,0.14326882978633734,0.065614168653457011,0.064094833139669669,0.067166934557577065,0.50193682627581471,0.49844024474458132,0.50579522042973057,1.0156142699004678,1.011205520435539,1.0198497302139393,1.3844586239806633,1.3774959129277957,1.3914188980457813,1.398928297503071,1.3867695979410175,1.4097109023123797,1,1,1,2,2,2,4,4,4,6,5,6,10,9,10,2,2,2,4,4,4,6,6,6,7,7,7,12,12,12,61,-2.2204460492503131e-16
