n,permutation,r_orb,a_coefficients,b_coefficients,alpha
6,012345,1,0-0-0-0-0-0-1,0-0-0-0-0-0-1,
7,0123456,0,0-0-0-0-0-0-7-0,0-0-0-0-0-0-7-1,7
7,0123465,1,0-0-0-0-0-0-2-1,0-0-0-0-0-0-2-1,2
7,0123546,1,0-0-0-0-0-0-2-1,0-0-0-0-0-0-2-1,2
7,0123564,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0123645,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0124356,1,0-0-0-0-0-0-2-1,0-0-0-0-0-0-2-1,2
7,0124536,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0124563,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0125346,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0126345,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0132456,1,0-0-0-0-0-0-2-1,0-0-0-0-0-0-2-1,2
7,0134256,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0134526,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0134562,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0142356,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0152346,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0162345,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0213456,1,0-0-0-0-0-0-2-1,0-0-0-0-0-0-2-1,2
7,0231456,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0234156,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0234516,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0234561,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0312456,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0412356,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0512346,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0612345,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,1023456,1,0-0-0-0-0-0-2-1,0-0-0-0-0-0-2-1,2
7,1203456,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,1230456,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,1234056,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,1234506,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,1234560,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,2013456,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,3012456,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,4012356,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,5012346,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,6012345,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
8,01234567,1,0-0-0-0-0-0-28-0-1,0-0-0-0-0-0-28-8-1,28-0
8,01234576,0,0-0-0-0-0-0-13-6-0,0-0-0-0-0-0-13-8-1,13-6
8,01234657,1,0-0-0-0-0-0-13-6-1,0-0-0-0-0-0-13-8-1,13-6
8,01234675,0,0-0-0-0-0-0-8-7-0,0-0-0-0-0-0-8-8-1,8-7
8,01234756,0,0-0-0-0-0-0-8-7-0,0-0-0-0-0-0-8-8-1,8-7
8,01234765,1,0-0-0-0-0-0-3-3-1,0-0-0-0-0-0-3-3-1,3-3
8,01235467,1,0-0-0-0-0-0-13-6-1,0-0-0-0-0-0-13-8-1,13-6
8,01235476,1,0-0-0-0-0-0-4-4-1,0-0-0-0-0-0-4-4-1,4-4
8,01235647,1,0-0-0-0-0-0-8-7-1,0-0-0-0-0-0-8-8-1,8-7
