PHASE,n,seed,N_total,N_empty,N_R1,N_R2,N_R3_4,N_Rge5,backend_failures,observable,unit,N_group_R2,N_group_Rge5,mu_R2,mu_R2_ci95_low,mu_R2_ci95_high,mu_Rge5,mu_Rge5_ci95_low,mu_Rge5_ci95_high,delta_Rge5_minus_R2,delta_ci95_low,delta_ci95_high,cohen_d,cohen_d_ci95_low,cohen_d_ci95_high
POST_HOC_EXPLORATORY_R2_VS_RGE5_MECHANISTIC_CONTRAST,22,260828022,100000,7140,44033,27136,14875,6816,0,n_maximizers,candidates,27136,6816,2.3733416863207548,2.3621001621462265,2.3845859743514151,8.4740316901408459,8.372762617370892,8.5717539612676052,6.1006900038200911,6.0010395386272037,6.1957339123676816,2.9432129959892057,2.8600420164939386,3.0285050137296134
POST_HOC_EXPLORATORY_R2_VS_RGE5_MECHANISTIC_CONTRAST,22,260828022,100000,7140,44033,27136,14875,6816,0,n_automorphisms,automorphisms,27136,6816,2.7740271226415096,2.7133236291273586,2.8362848245872638,2.417400234741784,2.3321339495305162,2.5220363849765257,-0.35662688789972563,-0.45953090051709605,-0.24262953099394294,-0.069125258895884598,-0.089372503101008194,-0.046995170967917874
POST_HOC_EXPLORATORY_R2_VS_RGE5_MECHANISTIC_CONTRAST,22,260828022,100000,7140,44033,27136,14875,6816,0,primary_score,poset_elements,27136,6816,3.7138119103773586,3.7053729363207548,3.7222886571344338,3.19468896713615,3.18412558685446,3.2057071596244131,-0.51912294324120856,-0.53265640484514798,-0.50442405563491011,-0.74473082009872982,-0.76380836668362895,-0.72358997850326712
POST_HOC_EXPLORATORY_R2_VS_RGE5_MECHANISTIC_CONTRAST,22,260828022,100000,7140,44033,27136,14875,6816,0,secondary_score,poset_elements,27136,6816,8.5667010613207548,8.5498562794811317,8.5842515477594343,7.2328345070422539,7.2037742077464788,7.2590999119718305,-1.3338665542785009,-1.3682516581406681,-1.300967189610738,-0.88193593572925555,-0.90679527330594234,-0.85826404460426109
POST_HOC_EXPLORATORY_R2_VS_RGE5_MECHANISTIC_CONTRAST,22,260828022,100000,7140,44033,27136,14875,6816,0,mean_orbit_size,candidates_per_orbit,27136,6816,1.1866708431603774,1.1810500810731133,1.1922929871757075,1.1845119205610033,1.1749673974764367,1.194485825785631,-0.0021589225993741135,-0.013132459494251385,0.0086868453123952853,-0.0047646689531131575,-0.028897156102574761,0.019008783668328897
POST_HOC_EXPLORATORY_R2_VS_RGE5_MECHANISTIC_CONTRAST,22,260828022,100000,7140,44033,27136,14875,6816,0,max_orbit_size,candidates,27136,6816,1.2387971698113207,1.231905033903302,1.2457657724056606,1.3769072769953052,1.3585644072769953,1.3958333333333333,0.13811010718398453,0.11910972950023269,0.15726994941840511,0.22444188805542153,0.19435633145551029,0.2531433921658417
POST_HOC_EXPLORATORY_R2_VS_RGE5_MECHANISTIC_CONTRAST,24,260828024,100000,3384,46380,27837,15048,7351,0,n_maximizers,candidates,27837,7351,2.3464094550418508,2.3361703847397348,2.3575537953084025,8.6276697048020683,8.527673105699904,8.7319004217113321,6.2812602497602175,6.1802082355194958,6.3825195085112405,2.8404595924960767,2.7481495290415223,2.9386396928366993
POST_HOC_EXPLORATORY_R2_VS_RGE5_MECHANISTIC_CONTRAST,24,260828024,100000,3384,46380,27837,15048,7351,0,n_automorphisms,automorphisms,27837,7351,2.7949491683730288,2.7415310557890575,2.8560728526780905,2.5814174942184738,2.5064583049925178,2.6645592436403209,-0.21353167415455498,-0.31043460451825616,-0.11735738037981738,-0.045243258966377355,-0.064541917959096806,-0.025651232986798146
POST_HOC_EXPLORATORY_R2_VS_RGE5_MECHANISTIC_CONTRAST,24,260828024,100000,3384,46380,27837,15048,7351,0,primary_score,poset_elements,27837,7351,3.983547077630492,3.9732711858318068,3.993320041671157,3.3381852809141614,3.3260780846143381,3.3515168004353151,-0.64536179671633054,-0.65982649204927335,-0.62870075459737462,-0.81454034694789523,-0.83358013914216522,-0.79329193121655883
POST_HOC_EXPLORATORY_R2_VS_RGE5_MECHANISTIC_CONTRAST,24,260828024,100000,3384,46380,27837,15048,7351,0,secondary_score,poset_elements,27837,7351,9.2221503753996483,9.2012294787513014,9.2421606135718655,7.6163787239831313,7.587127601686845,7.6479458577064348,-1.605771651416517,-1.6402983626963361,-1.5686091060144634,-0.97044069096625696,-0.99402334003122705,-0.94600065268829292
