n,retention,original_unique_count,endpoint_survive_count,endpoint_survive_fraction,endpoint_survive_expected,survival_control_tolerance,survival_control_pass,thinned_unique_count,thinned_unique_given_survival_count,p_thinned_unique_given_survival,exact_reselected_count,p_same_given_survival,p_same_ci95_low,p_same_ci95_high,p_same_unconditional
32,0.9,5056,3327,0.658030063291,0.6561,0.0402797332037,TRUE,3329,2607,0.783588818756,2485,0.746919146378,0.731866489264,0.761402259883,0.491495253165
32,0.8,5056,2064,0.408227848101,0.4096,0.0416932718303,TRUE,2606,1438,0.696705426357,1275,0.61773255814,0.59656803995,0.638459649396,0.252175632911
48,0.9,5918,3867,0.65343021291,0.6561,0.0372169852846,TRUE,4230,3184,0.823377295061,2969,0.767778639772,0.754208314525,0.780817473028,0.501689760054
48,0.8,5918,2388,0.403514700912,0.4096,0.0385235283608,TRUE,3501,1779,0.744974874372,1539,0.644472361809,0.6250557406,0.663424918289,0.260054072322
64,0.9,6472,4249,0.65652039555,0.6561,0.0355814077813,TRUE,4783,3548,0.835020004707,3307,0.778300776653,0.765562562317,0.790536230197,0.510970333745
64,0.8,6472,2607,0.402812113721,0.4096,0.0368307803287,TRUE,4037,2000,0.767165324127,1691,0.64863828155,0.630106252809,0.666732912733,0.261279357231
96,0.9,6935,4529,0.653064167267,0.6561,0.0343680666515,TRUE,5347,3926,0.866858026054,3601,0.795098255686,0.783095285391,0.806601050623,0.519250180245
96,0.8,6935,2868,0.41355443403,0.4096,0.0355750130427,TRUE,4638,2292,0.799163179916,1913,0.667015341702,0.64955403698,0.684029837247,0.275847152127
128,0.9,7160,4711,0.657960893855,0.6561,0.0338215077157,TRUE,5632,4129,0.876459350456,3782,0.802801952876,0.791195394749,0.813915089859,0.528212290503
128,0.8,7160,2887,0.403212290503,0.4096,0.0350093388436,TRUE,4965,2367,0.819882230689,2012,0.696917215102,0.679899937674,0.713411150532,0.281005586592
