seed,intensity,kind,N,n_min,valid,abstention_reason,mean_L,std_L,cv_L,iqr_L,range_L,mean_V,std_V,cv_V,iqr_V,range_V,flags
4200000,1200.0,MINK,1219,30,True,,45.266666666666666,2.5681813712344304,0.05673449273713764,4.0,9.0,787.6,90.30304535285617,0.1146559742926056,133.0,294.0,
4200001,1200.0,MINK,1191,29,True,,46.62068965517241,2.1239811854392405,0.045558768030871284,3.0,9.0,753.4827586206897,85.06006830455885,0.11288920327821184,142.0,280.0,NEAR_DELTA_MINK_L
4200002,1200.0,MINK,1229,30,True,,45.96666666666667,1.9058389811897078,0.04146132663937,2.0,8.0,831.3666666666667,90.20734756967171,0.10850488862075103,151.75,323.0,NEAR_DELTA_MINK_L
4200003,1200.0,MINK,1224,33,True,,45.81818181818182,3.663534850838161,0.07995810190321383,6.0,12.0,772.4848484848485,94.23668500501604,0.1219916289489067,133.0,319.0,
4200004,1200.0,MINK,1189,35,True,,44.22857142857143,2.757697945603121,0.06235105174167263,3.5,10.0,761.8857142857142,98.14093988561885,0.128813203929973,124.0,310.0,
4200005,1200.0,MINK,1155,31,True,,47.483870967741936,2.5510398606151674,0.05372434489067268,4.0,8.0,749.7741935483871,90.65450531566016,0.12090907648691929,139.0,290.0,
4200006,1200.0,MINK,1222,32,True,,44.25,1.1726039399558574,0.02649952406679904,2.0,4.0,801.09375,87.82096823047159,0.10962633053930529,139.0,298.0,NEAR_DELTA_MINK_L
4200007,1200.0,MINK,1191,33,True,,45.90909090909091,2.0650575802910085,0.044981452243962564,3.0,9.0,763.6060606060606,79.8771554530396,0.1046051879023099,137.0,261.0,NEAR_DELTA_MINK_L
4200008,1200.0,MINK,1229,27,True,,46.51851851851852,3.315176888977814,0.07126574522484154,6.0,10.0,769.7777777777778,97.06520654172459,0.1260951008769517,178.5,296.0,
4200009,1200.0,MINK,1220,31,True,,47.70967741935484,2.2460509916811886,0.04707747176613715,3.0,9.0,793.0967741935484,94.0076712170804,0.11853240900225707,147.0,337.0,NEAR_DELTA_MINK_L
4200010,1200.0,MINK,1225,32,True,,45.6875,1.4017288432503627,0.03068079547470014,2.0,6.0,781.15625,88.31870886702036,0.11306151473155385,106.5,313.0,NEAR_DELTA_MINK_L
4200011,1200.0,MINK,1153,26,True,,44.46153846153846,2.0235302212255237,0.045511925390885485,3.0,7.0,735.4230769230769,77.06349683461488,0.10478797749594618,109.5,266.0,NEAR_DELTA_MINK_L
4200012,1200.0,MINK,1195,32,True,,44.4375,1.6571341979453564,0.03729134622661843,2.25,7.0,750.65625,96.43994548908404,0.12847417907875147,130.25,313.0,NEAR_DELTA_MINK_L
4200013,1200.0,MINK,1226,29,True,,46.55172413793103,1.5219363097044076,0.0326934466529095,1.0,7.0,815.4827586206897,102.82446397813125,0.12609029791389936,178.0,340.0,NEAR_DELTA_MINK_L
4200014,1200.0,MINK,1199,32,True,,48.125,2.1469455046647083,0.04461185464238355,4.0,7.0,752.1875,90.3581199657784,0.12012712251370622,138.5,294.0,NEAR_DELTA_MINK_L
4200015,1200.0,MINK,1188,29,True,,47.62068965517241,3.468218196049698,0.07283007073529417,7.0,11.0,737.3448275862069,93.22581996275976,0.12643449370621676,116.0,355.0,
4200016,1200.0,MINK,1248,29,True,,48.172413793103445,2.085565589660337,0.04329377387269132,2.0,8.0,830.2068965517242,98.32226369772246,0.1184310370175258,163.0,330.0,NEAR_DELTA_MINK_L
4200017,1200.0,MINK,1180,27,True,,45.629629629629626,1.7245106261959728,0.03779365820397019,3.0,5.0,776.8148148148148,87.43634172696922,0.11255751056680505,143.5,298.0,NEAR_DELTA_MINK_L
4200018,1200.0,MINK,1158,29,True,,44.793103448275865,1.8453914703806416,0.04119811596692733,3.0,6.0,735.3793103448276,79.07805563038963,0.10753369658076053,120.0,270.0,NEAR_DELTA_MINK_L
4200019,1200.0,MINK,1199,35,True,,45.371428571428574,2.485221626055158,0.05477503583874718,4.0,9.0,775.1142857142858,96.14298025888954,0.1240371672034035,161.5,349.0,
4200020,1200.0,MINK,1192,35,True,,43.91428571428571,1.991000158878211,0.04533832502325139,2.0,10.0,777.0,83.91117752889488,0.10799379347348119,85.0,343.0,NEAR_DELTA_MINK_L
4200021,1200.0,MINK,1243,30,True,,49.06666666666667,4.065573623597154,0.0828581580896159,5.75,15.0,800.6,91.96687809568544,0.11487244328714144,137.5,312.0,
4200022,1200.0,MINK,1219,35,True,,45.542857142857144,2.12929038672991,0.04675355303359275,3.0,8.0,781.2857142857143,85.50273894646264,0.10943850294848025,126.0,307.0,NEAR_DELTA_MINK_L
4200023,1200.0,MINK,1161,33,True,,43.72727272727273,0.8265564664839913,0.01890253873456113,1.0,3.0,720.8484848484849,88.151426607037,0.12228842601447035,154.0,275.0,NEAR_DELTA_MINK_L
4200000,2400.0,MINK,2427,44,True,,66.0909090909091,2.6698500282888022,0.040396630414273486,4.0,10.0,1555.340909090909,179.31649814856542,0.11529080030009321,347.25,577.0,NEAR_DELTA_MINK_L
4200001,2400.0,MINK,2387,38,True,,66.6842105263158,2.201736911931778,0.03301736489874016,3.75,8.0,1568.3947368421052,175.00579531361754,0.11158274840043401,309.0,577.0,NEAR_DELTA_MINK_L
4200002,2400.0,MINK,2441,43,True,,65.25581395348837,1.6295672596609168,0.02497198580378454,3.0,6.0,1632.1860465116279,199.833099641368,0.12243279500425772,328.0,656.0,NEAR_DELTA_MINK_L
