seed,intensity,kind,N,n_min,valid,abstention_reason,mean_L,std_L,cv_L,iqr_L,range_L,mean_V,std_V,cv_V,iqr_V,range_V,flags
4200000,1200.0,MINK,1219,30,True,,45.266666666666666,2.5681813712344304,0.05673449273713764,4.0,9.0,787.6,90.30304535285617,0.1146559742926056,133.0,294.0,
4200000,1200.0,BH,1219,34,True,,27.91176470588235,16.30295470704408,0.5840889989878807,30.5,47.0,496.38235294117646,322.8719482746975,0.6504500942904375,670.5,813.0,
4200001,1200.0,MINK,1191,29,True,,46.62068965517241,2.1239811854392405,0.045558768030871284,3.0,9.0,753.4827586206897,85.06006830455885,0.11288920327821184,142.0,280.0,NEAR_DELTA_MINK_L
4200001,1200.0,BH,1191,38,True,,29.105263157894736,15.862550192669477,0.5450062453177579,21.0,45.0,477.63157894736844,284.74378335736293,0.5961577833377295,400.75,806.0,
4200002,1200.0,MINK,1229,30,True,,45.96666666666667,1.9058389811897078,0.04146132663937,2.0,8.0,831.3666666666667,90.20734756967171,0.10850488862075103,151.75,323.0,NEAR_DELTA_MINK_L
4200002,1200.0,BH,1229,39,True,,27.94871794871795,15.385555526829865,0.5504923537122612,25.0,44.0,520.3333333333334,310.08909665328105,0.5959431710184773,497.5,853.0,
4200003,1200.0,MINK,1224,33,True,,45.81818181818182,3.663534850838161,0.07995810190321383,6.0,12.0,772.4848484848485,94.23668500501604,0.1219916289489067,133.0,319.0,
4200003,1200.0,BH,1224,45,True,,29.933333333333334,15.811950473543034,0.5282388799624621,24.0,46.0,504.8222222222222,292.90440525414425,0.5802129786695643,479.0,811.0,
4200004,1200.0,MINK,1189,35,True,,44.22857142857143,2.757697945603121,0.06235105174167263,3.5,10.0,761.8857142857142,98.14093988561885,0.128813203929973,124.0,310.0,
4200004,1200.0,BH,1189,44,True,,27.477272727272727,13.720403910638868,0.49933645332349896,18.5,42.0,481.54545454545456,279.18456379455694,0.5797678311761613,433.0,812.0,
4200005,1200.0,MINK,1155,31,True,,47.483870967741936,2.5510398606151674,0.05372434489067268,4.0,8.0,749.7741935483871,90.65450531566016,0.12090907648691929,139.0,290.0,
4200005,1200.0,BH,1155,42,True,,28.38095238095238,16.697522458012376,0.5883355228494294,31.75,47.0,482.6904761904762,303.7531491582973,0.6292917804295608,616.5,795.0,
4200006,1200.0,MINK,1222,32,True,,44.25,1.1726039399558574,0.02649952406679904,2.0,4.0,801.09375,87.82096823047159,0.10962633053930529,139.0,298.0,NEAR_DELTA_MINK_L
4200006,1200.0,BH,1222,44,True,,30.431818181818183,12.79274959298275,0.42037414644603505,8.25,42.0,569.6590909090909,273.96930345485276,0.4809355416721932,309.75,822.0,
4200007,1200.0,MINK,1191,33,True,,45.90909090909091,2.0650575802910085,0.044981452243962564,3.0,9.0,763.6060606060606,79.8771554530396,0.1046051879023099,137.0,261.0,NEAR_DELTA_MINK_L
4200007,1200.0,BH,1191,38,True,,30.894736842105264,15.236364868446547,0.49317024276062077,20.5,45.0,527.3421052631579,280.0630827731673,0.5310842429951773,394.25,793.0,
