artifact_path	generator_path	command_or_template	provenance_anchor
data/reports/kbeam_braiding_diagnostic_per_survivor.csv	dev/measure_kbeam_peeloff.py	NOT_DOCUMENTED (parameterized probe output; artifact records K=64)	git:7fe0e405dc3bfe161d825804cb3cdfcdcd49e1f3
data/reports/pr004_braiding_v2_per_lineage.csv	dev/measure_kbeam_peeloff.py	python3 dev/measure_kbeam_peeloff.py --seeds 6 --intensities 3600,7200,14400 --probe-out data/reports/pr004_braiding_v2_per_lineage.csv --probe-k 8	git:52a7e1b93f2d1050325dea2c7fc54ddd57a2a1b7
data/reports/pr005_k_stability_heldout_K2.csv	dev/measure_kbeam_peeloff.py	python3 dev/measure_kbeam_peeloff.py --seed-offset 18 --seeds 6 --intensities 4800,9600,19200 --slice-out-prefix data/reports/pr005_k_stability_heldout --slice-k-list 2,4,8,16,32,64 --probe-k 8	git:70026dc16e90bc9f53460139ae7b31d3aa201a9f
data/reports/pr005_k_stability_heldout_K4.csv	dev/measure_kbeam_peeloff.py	python3 dev/measure_kbeam_peeloff.py --seed-offset 18 --seeds 6 --intensities 4800,9600,19200 --slice-out-prefix data/reports/pr005_k_stability_heldout --slice-k-list 2,4,8,16,32,64 --probe-k 8	git:70026dc16e90bc9f53460139ae7b31d3aa201a9f
data/reports/pr005_k_stability_heldout_K8.csv	dev/measure_kbeam_peeloff.py	python3 dev/measure_kbeam_peeloff.py --seed-offset 18 --seeds 6 --intensities 4800,9600,19200 --slice-out-prefix data/reports/pr005_k_stability_heldout --slice-k-list 2,4,8,16,32,64 --probe-k 8	git:70026dc16e90bc9f53460139ae7b31d3aa201a9f
data/reports/pr005_k_stability_heldout_K16.csv	dev/measure_kbeam_peeloff.py	python3 dev/measure_kbeam_peeloff.py --seed-offset 18 --seeds 6 --intensities 4800,9600,19200 --slice-out-prefix data/reports/pr005_k_stability_heldout --slice-k-list 2,4,8,16,32,64 --probe-k 8	git:70026dc16e90bc9f53460139ae7b31d3aa201a9f
data/reports/pr005_k_stability_heldout_K32.csv	dev/measure_kbeam_peeloff.py	python3 dev/measure_kbeam_peeloff.py --seed-offset 18 --seeds 6 --intensities 4800,9600,19200 --slice-out-prefix data/reports/pr005_k_stability_heldout --slice-k-list 2,4,8,16,32,64 --probe-k 8	git:70026dc16e90bc9f53460139ae7b31d3aa201a9f
data/reports/pr005_k_stability_heldout_K64.csv	dev/measure_kbeam_peeloff.py	python3 dev/measure_kbeam_peeloff.py --seed-offset 18 --seeds 6 --intensities 4800,9600,19200 --slice-out-prefix data/reports/pr005_k_stability_heldout --slice-k-list 2,4,8,16,32,64 --probe-k 8	git:70026dc16e90bc9f53460139ae7b31d3aa201a9f
data/reports/pr005_population_depth_barrier_slices.csv	dev/measure_kbeam_peeloff.py	python3 dev/measure_kbeam_peeloff.py --seeds 6 --intensities 3600,7200,14400 --slice-out data/reports/pr005_population_depth_barrier_slices.csv --probe-k 8	git:6a4fedc1013cee8ed8236c4566b5577b2f2d0d3a
data/reports/pr005_population_depth_barrier_slices_heldout.csv	dev/measure_kbeam_peeloff.py	python3 dev/measure_kbeam_peeloff.py --seeds 6 --seed-offset 6 --intensities 4800,9600,19200 --slice-out data/reports/pr005_population_depth_barrier_slices_heldout.csv --probe-k 8	git:ce5fad6c34a2a20370b6d37a5c9502b39a61f73e
